clade	species	position	GC_mean
mammal	mLynCan4	five-prime-30kb-12500bp	0.45653046797681324
mammal	mLynCan4	five-prime-30kb-12600bp	0.4563596522230862
mammal	mLynCan4	five-prime-30kb-12700bp	0.45714709832473316
mammal	mLynCan4	five-prime-30kb-12800bp	0.45750901251148646
mammal	mLynCan4	five-prime-30kb-12900bp	0.45770940274509936
mammal	mLynCan4	five-prime-30kb-13000bp	0.45722432317805894
mammal	mLynCan4	five-prime-30kb-13100bp	0.45778539619707365
mammal	mLynCan4	five-prime-30kb-13200bp	0.45720011309818337
mammal	mLynCan4	five-prime-30kb-13300bp	0.45830911747842795
mammal	mLynCan4	five-prime-30kb-13400bp	0.45779271702785157
mammal	mLynCan4	five-prime-30kb-13500bp	0.4566554253540806
mammal	mLynCan4	five-prime-30kb-13600bp	0.45714660520238815
mammal	mLynCan4	five-prime-30kb-13700bp	0.45581672479977403
mammal	mLynCan4	five-prime-30kb-13800bp	0.4563715382243942
mammal	mLynCan4	five-prime-30kb-13900bp	0.45692678008727905
mammal	mLynCan4	five-prime-30kb-14000bp	0.4553241520249862
mammal	mLynCan4	five-prime-30kb-14100bp	0.45624334135998207
mammal	mLynCan4	five-prime-30kb-14200bp	0.45643204231032036
mammal	mLynCan4	five-prime-30kb-14300bp	0.4574992918582412
mammal	mLynCan4	five-prime-30kb-14400bp	0.4568537339192518
mammal	mLynCan4	five-prime-30kb-14500bp	0.45747924511670673
mammal	mLynCan4	five-prime-30kb-14600bp	0.45661979702026356
mammal	mLynCan4	five-prime-30kb-14700bp	0.457022346071261
mammal	mLynCan4	five-prime-30kb-14800bp	0.45552838057538697
mammal	mLynCan4	five-prime-30kb-14900bp	0.45797341425463317
mammal	mLynCan4	five-prime-30kb-15000bp	0.45718642362825107
mammal	mLynCan4	five-prime-30kb-15100bp	0.457364812327702
mammal	mLynCan4	five-prime-30kb-15200bp	0.45665692412652703
mammal	mLynCan4	five-prime-30kb-15300bp	0.4581507139827513
mammal	mLynCan4	five-prime-30kb-15400bp	0.4568659345995509
mammal	mLynCan4	five-prime-30kb-15500bp	0.4567284410052987
mammal	mLynCan4	five-prime-30kb-15600bp	0.4576758412795842
mammal	mLynCan4	five-prime-30kb-15700bp	0.45646832824015887
mammal	mLynCan4	five-prime-30kb-15800bp	0.45675812696841894
mammal	mLynCan4	five-prime-30kb-15900bp	0.4577970426171459
mammal	mLynCan4	five-prime-30kb-16000bp	0.45700713932282466
mammal	mLynCan4	five-prime-30kb-16100bp	0.4559121153355605
mammal	mLynCan4	five-prime-30kb-16200bp	0.4573727541486659
mammal	mLynCan4	five-prime-30kb-16300bp	0.45658796918074507
mammal	mLynCan4	five-prime-30kb-16400bp	0.45745034282886826
mammal	mLynCan4	five-prime-30kb-16500bp	0.45654909168021485
mammal	mLynCan4	five-prime-30kb-16600bp	0.456850215593412
mammal	mLynCan4	five-prime-30kb-16700bp	0.4567149514321374
mammal	mLynCan4	five-prime-30kb-16800bp	0.45760439752348236
mammal	mLynCan4	five-prime-30kb-16900bp	0.45658726231709906
mammal	mLynCan4	five-prime-30kb-17000bp	0.4582179231401626
mammal	mLynCan4	five-prime-30kb-17100bp	0.45722552542122835
mammal	mLynCan4	five-prime-30kb-17200bp	0.45569869634045107
mammal	mLynCan4	five-prime-30kb-17300bp	0.4562269275456156
mammal	mLynCan4	five-prime-30kb-17400bp	0.4568512882706091
mammal	mLynCan4	five-prime-30kb-17500bp	0.4572561792395464
mammal	mLynCan4	five-prime-30kb-17600bp	0.4578287488587354
mammal	mLynCan4	five-prime-30kb-17700bp	0.45856947992029634
mammal	mLynCan4	five-prime-30kb-17800bp	0.457226070974127
mammal	mLynCan4	five-prime-30kb-17900bp	0.45713435661640406
mammal	mLynCan4	five-prime-30kb-18000bp	0.457350121222594
mammal	mLynCan4	five-prime-30kb-18100bp	0.4569217769494503
mammal	mLynCan4	five-prime-30kb-18200bp	0.45702070458449234
mammal	mLynCan4	five-prime-30kb-18300bp	0.4564560096372662
mammal	mLynCan4	five-prime-30kb-18400bp	0.456691134365432
mammal	mLynCan4	five-prime-30kb-18500bp	0.45838878190153215
mammal	mLynCan4	five-prime-30kb-18600bp	0.4572863886718414
mammal	mLynCan4	five-prime-30kb-18700bp	0.4557170587947431
mammal	mLynCan4	five-prime-30kb-18800bp	0.4562415050136828
mammal	mLynCan4	five-prime-30kb-18900bp	0.45755189082560777
mammal	mLynCan4	five-prime-30kb-19000bp	0.45708973875078834
mammal	mLynCan4	five-prime-30kb-19100bp	0.4565514183779337
mammal	mLynCan4	five-prime-30kb-19200bp	0.45766577124275415
mammal	mLynCan4	five-prime-30kb-19300bp	0.4568954792413647
mammal	mLynCan4	five-prime-30kb-19400bp	0.45502474022761014
mammal	mLynCan4	five-prime-30kb-19500bp	0.4565548048874155
mammal	mLynCan4	five-prime-30kb-19600bp	0.45661482999929315
mammal	mLynCan4	five-prime-30kb-19700bp	0.4561676209325888
mammal	mLynCan4	five-prime-30kb-19800bp	0.4563529232483781
mammal	mLynCan4	five-prime-30kb-19900bp	0.4577567869823133
mammal	mLynCan4	five-prime-30kb-20000bp	0.4579880710666085
mammal	mLynCan4	five-prime-30kb-20100bp	0.4581261396417925
mammal	mLynCan4	five-prime-30kb-20200bp	0.4578696466254787
mammal	mLynCan4	five-prime-30kb-20300bp	0.45686907135513466
mammal	mLynCan4	five-prime-30kb-20400bp	0.45734541488765
mammal	mLynCan4	five-prime-30kb-20500bp	0.45764862858758665
mammal	mLynCan4	five-prime-30kb-20600bp	0.45792857677497695
mammal	mLynCan4	five-prime-30kb-20700bp	0.458545493104379
mammal	mLynCan4	five-prime-30kb-20800bp	0.4573146708138932
mammal	mLynCan4	five-prime-30kb-20900bp	0.4582891467582493
mammal	mLynCan4	five-prime-30kb-21000bp	0.45693030386196615
mammal	mLynCan4	five-prime-30kb-21100bp	0.45669061604308314
mammal	mLynCan4	five-prime-30kb-21200bp	0.45669548430564505
mammal	mLynCan4	five-prime-30kb-21300bp	0.45778877421179126
mammal	mLynCan4	five-prime-30kb-21400bp	0.45684019712791096
mammal	mLynCan4	five-prime-30kb-21500bp	0.4549994001945083
mammal	mLynCan4	five-prime-30kb-21600bp	0.4564413968613035
mammal	mLynCan4	five-prime-30kb-21700bp	0.45763109863400225
mammal	mLynCan4	five-prime-30kb-21800bp	0.4564121597737717
mammal	mLynCan4	five-prime-30kb-21900bp	0.457325109894402
mammal	mLynCan4	five-prime-30kb-22000bp	0.45667788587148633
mammal	mLynCan4	five-prime-30kb-22100bp	0.45857544217954255
mammal	mLynCan4	five-prime-30kb-22200bp	0.4573372216330859
mammal	mLynCan4	five-prime-30kb-22300bp	0.45681878166607753
mammal	mLynCan4	five-prime-30kb-22400bp	0.45776273945421225
mammal	mLynCan4	five-prime-30kb-22500bp	0.4576415075829743
mammal	mLynCan4	five-prime-30kb-22600bp	0.4581213153967881
mammal	mLynCan4	five-prime-30kb-22700bp	0.45913354113778293
mammal	mLynCan4	five-prime-30kb-22800bp	0.4588442513997648
mammal	mLynCan4	five-prime-30kb-22900bp	0.4574675270244803
mammal	mLynCan4	five-prime-30kb-23000bp	0.45772846171149456
mammal	mLynCan4	five-prime-30kb-23100bp	0.4573670814479638
mammal	mLynCan4	five-prime-30kb-23200bp	0.45749867054686194
mammal	mLynCan4	five-prime-30kb-23300bp	0.45645098385766464
mammal	mLynCan4	five-prime-30kb-23400bp	0.4574372569812655
mammal	mLynCan4	five-prime-30kb-23500bp	0.45764814006196325
mammal	mLynCan4	five-prime-30kb-23600bp	0.4583964392283124
mammal	mLynCan4	five-prime-30kb-23700bp	0.4572390252733904
mammal	mLynCan4	five-prime-30kb-23800bp	0.45834664875565606
mammal	mLynCan4	five-prime-30kb-23900bp	0.45759544683257924
mammal	mLynCan4	five-prime-30kb-24000bp	0.4555903563348417
mammal	mLynCan4	five-prime-30kb-24100bp	0.4571772604930567
mammal	mLynCan4	five-prime-30kb-24200bp	0.45772979398936414
mammal	mLynCan4	five-prime-30kb-24300bp	0.4556050720825003
mammal	mLynCan4	five-prime-30kb-24400bp	0.4577055389463478
mammal	mLynCan4	five-prime-30kb-24500bp	0.45662542420814484
mammal	mLynCan4	five-prime-30kb-24600bp	0.45681348981900455
mammal	mLynCan4	five-prime-30kb-24700bp	0.45674703054298643
mammal	mLynCan4	five-prime-30kb-24800bp	0.45598274886877826
mammal	mLynCan4	five-prime-30kb-24900bp	0.45657593325791856
mammal	mLynCan4	five-prime-30kb-25000bp	0.4560554645479382
mammal	mLynCan4	five-prime-30kb-25100bp	0.456294895361991
mammal	mLynCan4	five-prime-30kb-25200bp	0.45552307836171224
mammal	mLynCan4	five-prime-30kb-25300bp	0.4547537097418152
mammal	mLynCan4	five-prime-30kb-25400bp	0.4561085972850679
mammal	mLynCan4	five-prime-30kb-25500bp	0.4552724358974359
mammal	mLynCan4	five-prime-30kb-25600bp	0.45569991939083326
mammal	mLynCan4	five-prime-30kb-25700bp	0.45705826536080024
mammal	mLynCan4	five-prime-30kb-25800bp	0.45516449849170443
mammal	mLynCan4	five-prime-30kb-25900bp	0.45673375372197955
mammal	mLynCan4	five-prime-30kb-26000bp	0.4566767684749777
mammal	mLynCan4	five-prime-30kb-26100bp	0.4557850818566367
mammal	mLynCan4	five-prime-30kb-26200bp	0.4560736240346341
mammal	mLynCan4	five-prime-30kb-26300bp	0.4552594739819005
mammal	mLynCan4	five-prime-30kb-26400bp	0.45639636556769403
mammal	mLynCan4	five-prime-30kb-26500bp	0.4563585216310946
mammal	mLynCan4	five-prime-30kb-26600bp	0.4568430873480614
mammal	mLynCan4	five-prime-30kb-26700bp	0.45632777149321263
mammal	mLynCan4	five-prime-30kb-26800bp	0.45628269937782806
mammal	mLynCan4	five-prime-30kb-26900bp	0.45865139514740577
mammal	mLynCan4	five-prime-30kb-27000bp	0.4578328986509133
mammal	mLynCan4	five-prime-30kb-27100bp	0.4568464589783282
mammal	mLynCan4	five-prime-30kb-27200bp	0.457395481246252
mammal	mLynCan4	five-prime-30kb-27300bp	0.45604879505821344
mammal	mLynCan4	five-prime-30kb-27400bp	0.45732605276384625
mammal	mLynCan4	five-prime-30kb-27500bp	0.45749169224594927
mammal	mLynCan4	five-prime-30kb-27600bp	0.4578459224598931
mammal	mLynCan4	five-prime-30kb-27700bp	0.4569909502262443
mammal	mLynCan4	five-prime-30kb-27800bp	0.4579963235294117
mammal	mLynCan4	five-prime-30kb-27900bp	0.4586404128959276
mammal	mLynCan4	five-prime-30kb-28000bp	0.45894614576599874
mammal	mLynCan4	five-prime-30kb-28100bp	0.45780166605669415
mammal	mLynCan4	five-prime-30kb-28200bp	0.457152342143151
mammal	mLynCan4	five-prime-30kb-28300bp	0.45822453179989947
mammal	mLynCan4	five-prime-30kb-28400bp	0.4582664124000496
mammal	mLynCan4	five-prime-30kb-28500bp	0.45877466029275477
mammal	mLynCan4	five-prime-30kb-28600bp	0.4568621951985923
mammal	mLynCan4	five-prime-30kb-28700bp	0.4590261209378857
mammal	mLynCan4	five-prime-30kb-28800bp	0.4583746767937944
mammal	mLynCan4	five-prime-30kb-28900bp	0.45780939923165764
mammal	mLynCan4	five-prime-30kb-29000bp	0.4575904232181576
mammal	mLynCan4	five-prime-30kb-29100bp	0.457721735781945
mammal	mLynCan4	five-prime-30kb-29200bp	0.4567314762443439
mammal	mLynCan4	five-prime-30kb-29300bp	0.4569315610859729
mammal	mLynCan4	five-prime-30kb-29400bp	0.4577363782051282
mammal	mLynCan4	five-prime-30kb-29500bp	0.45695667225776254
mammal	mLynCan4	five-prime-30kb-29600bp	0.45780260180995475
mammal	mLynCan4	five-prime-30kb-29700bp	0.4589444287330317
mammal	mLynCan4	five-prime-30kb-29800bp	0.45840992647058826
mammal	mLynCan4	five-prime-30kb-29900bp	0.4580813487982606
mammal	mLynCan4	five-prime-30kb-30000bp	0.45755264873640755
mammal	mLynCan4	three-prime-30kb-100bp	0.4585140342854401
mammal	mLynCan4	three-prime-30kb-200bp	0.4756648986886279
mammal	mLynCan4	three-prime-30kb-300bp	0.47411004906625
mammal	mLynCan4	three-prime-30kb-400bp	0.47485359630005886
mammal	mLynCan4	three-prime-30kb-500bp	0.4747249094064679
mammal	mLynCan4	three-prime-30kb-600bp	0.4770401743720081
mammal	mLynCan4	three-prime-30kb-700bp	0.4768878588090103
mammal	mLynCan4	three-prime-30kb-800bp	0.4765723342841105
mammal	mLynCan4	three-prime-30kb-900bp	0.47708618943302006
mammal	mLynCan4	three-prime-30kb-1000bp	0.4786163522012579
mammal	mLynCan4	three-prime-30kb-1100bp	0.4782121404847714
mammal	mLynCan4	three-prime-30kb-1200bp	0.4781747305663838
mammal	mLynCan4	three-prime-30kb-1300bp	0.477845581287824
mammal	mLynCan4	three-prime-30kb-1400bp	0.4776555399734674
mammal	mLynCan4	three-prime-30kb-1500bp	0.4785673278987101
mammal	mLynCan4	three-prime-30kb-1600bp	0.478739222614841
mammal	mLynCan4	three-prime-30kb-1700bp	0.4772407158326684
mammal	mLynCan4	three-prime-30kb-1800bp	0.47745753527928947
mammal	mLynCan4	three-prime-30kb-1900bp	0.47689036809540025
mammal	mLynCan4	three-prime-30kb-2000bp	0.47575048670320425
mammal	mLynCan4	three-prime-30kb-2100bp	0.47597512935636144
mammal	mLynCan4	three-prime-30kb-2200bp	0.4757918666776183
mammal	mLynCan4	three-prime-30kb-2300bp	0.47564657101797536
mammal	mLynCan4	three-prime-30kb-2400bp	0.47593633377770017
mammal	mLynCan4	three-prime-30kb-2500bp	0.47544137507113476
mammal	mLynCan4	three-prime-30kb-2600bp	0.47521171215750574
mammal	mLynCan4	three-prime-30kb-2700bp	0.4764334181509754
mammal	mLynCan4	three-prime-30kb-2800bp	0.47547285835453773
mammal	mLynCan4	three-prime-30kb-2900bp	0.4748299371325044
mammal	mLynCan4	three-prime-30kb-3000bp	0.4744144462506184
mammal	mLynCan4	three-prime-30kb-3100bp	0.47393386148742433
mammal	mLynCan4	three-prime-30kb-3200bp	0.47470691974084017
mammal	mLynCan4	three-prime-30kb-3300bp	0.47349132879983113
mammal	mLynCan4	three-prime-30kb-3400bp	0.47424919896147844
mammal	mLynCan4	three-prime-30kb-3500bp	0.4743858904972765
mammal	mLynCan4	three-prime-30kb-3600bp	0.47487403228803965
mammal	mLynCan4	three-prime-30kb-3700bp	0.4749322255734213
mammal	mLynCan4	three-prime-30kb-3800bp	0.4753364433135426
mammal	mLynCan4	three-prime-30kb-3900bp	0.47380747159373116
mammal	mLynCan4	three-prime-30kb-4000bp	0.4730372549494005
mammal	mLynCan4	three-prime-30kb-4100bp	0.47467132322253186
mammal	mLynCan4	three-prime-30kb-4200bp	0.4753778734187106
mammal	mLynCan4	three-prime-30kb-4300bp	0.4747127163778306
mammal	mLynCan4	three-prime-30kb-4400bp	0.4745890346937935
mammal	mLynCan4	three-prime-30kb-4500bp	0.47378404485910847
mammal	mLynCan4	three-prime-30kb-4600bp	0.4741739704080671
mammal	mLynCan4	three-prime-30kb-4700bp	0.47364738181331195
mammal	mLynCan4	three-prime-30kb-4800bp	0.47279242889105294
mammal	mLynCan4	three-prime-30kb-4900bp	0.4734075487701442
mammal	mLynCan4	three-prime-30kb-5000bp	0.4735637545942889
mammal	mLynCan4	three-prime-30kb-5100bp	0.47395815662991236
mammal	mLynCan4	three-prime-30kb-5200bp	0.4731594571670908
mammal	mLynCan4	three-prime-30kb-5300bp	0.47313966638394117
mammal	mLynCan4	three-prime-30kb-5400bp	0.47258481764206955
mammal	mLynCan4	three-prime-30kb-5500bp	0.47406301442879056
mammal	mLynCan4	three-prime-30kb-5600bp	0.47324923579384404
mammal	mLynCan4	three-prime-30kb-5700bp	0.4727164651554713
mammal	mLynCan4	three-prime-30kb-5800bp	0.47174795024031674
mammal	mLynCan4	three-prime-30kb-5900bp	0.47267508975200173
mammal	mLynCan4	three-prime-30kb-6000bp	0.47333584324314976
mammal	mLynCan4	three-prime-30kb-6100bp	0.4722582662265988
mammal	mLynCan4	three-prime-30kb-6200bp	0.47182041400843255
mammal	mLynCan4	three-prime-30kb-6300bp	0.47234976713984345
mammal	mLynCan4	three-prime-30kb-6400bp	0.4740668131698666
mammal	mLynCan4	three-prime-30kb-6500bp	0.4718886632796726
mammal	mLynCan4	three-prime-30kb-6600bp	0.4708006684437982
mammal	mLynCan4	three-prime-30kb-6700bp	0.4709594408004675
mammal	mLynCan4	three-prime-30kb-6800bp	0.47138511921590803
mammal	mLynCan4	three-prime-30kb-6900bp	0.4720342097823014
mammal	mLynCan4	three-prime-30kb-7000bp	0.47284441931151483
mammal	mLynCan4	three-prime-30kb-7100bp	0.47312238157658004
mammal	mLynCan4	three-prime-30kb-7200bp	0.47292862669821284
mammal	mLynCan4	three-prime-30kb-7300bp	0.47355062805444487
mammal	mLynCan4	three-prime-30kb-7400bp	0.47358994596802056
mammal	mLynCan4	three-prime-30kb-7500bp	0.47337104299199406
mammal	mLynCan4	three-prime-30kb-7600bp	0.47382413781515303
mammal	mLynCan4	three-prime-30kb-7700bp	0.47401459703390003
mammal	mLynCan4	three-prime-30kb-7800bp	0.4738391387815474
mammal	mLynCan4	three-prime-30kb-7900bp	0.473967888910637
mammal	mLynCan4	three-prime-30kb-8000bp	0.47329657902176986
mammal	mLynCan4	three-prime-30kb-8100bp	0.4726046084252191
mammal	mLynCan4	three-prime-30kb-8200bp	0.47293539722929034
mammal	mLynCan4	three-prime-30kb-8300bp	0.4722596833474696
mammal	mLynCan4	three-prime-30kb-8400bp	0.4726800425063125
mammal	mLynCan4	three-prime-30kb-8500bp	0.4710991572394244
mammal	mLynCan4	three-prime-30kb-8600bp	0.472246726828617
mammal	mLynCan4	three-prime-30kb-8700bp	0.4722742905714804
mammal	mLynCan4	three-prime-30kb-8800bp	0.47126707582084026
mammal	mLynCan4	three-prime-30kb-8900bp	0.47220022726089045
mammal	mLynCan4	three-prime-30kb-9000bp	0.473107945442551
mammal	mLynCan4	three-prime-30kb-9100bp	0.4728541136556404
mammal	mLynCan4	three-prime-30kb-9200bp	0.47306548570845913
mammal	mLynCan4	three-prime-30kb-9300bp	0.47206519515017137
mammal	mLynCan4	three-prime-30kb-9400bp	0.4723445508715441
mammal	mLynCan4	three-prime-30kb-9500bp	0.47236385447623963
mammal	mLynCan4	three-prime-30kb-9600bp	0.472672119841331
mammal	mLynCan4	three-prime-30kb-9700bp	0.47162779191405146
mammal	mLynCan4	three-prime-30kb-9800bp	0.4716023466214306
mammal	mLynCan4	three-prime-30kb-9900bp	0.47191263782866844
mammal	mLynCan4	three-prime-30kb-10000bp	0.47165889171614356
mammal	mLynCan4	three-prime-30kb-10100bp	0.47061280746395245
mammal	mLynCan4	three-prime-30kb-10200bp	0.47059211611413493
mammal	mLynCan4	three-prime-30kb-10300bp	0.47065686781862587
mammal	mLynCan4	three-prime-30kb-10400bp	0.46989622264099296
