Sample_Chromosome	CenSat	Size
mPonPyg2_chr16_hap1_hsa15	HSat3	10255142
mPonPyg2_chr17_hap1_hsa18	HSat3	8241758
mPonPyg2_chr22_hap1_hsa21	HSat3	4913473
mPonPyg2_chr23_hap1_hsa22	HSat3	14231810
mSymSyn1_chr21_hap1	HSat3	571658
chm13_chr13	HSat3	1055542
chm13_chr14	HSat3	1883892
chm13_chr15	HSat3	8750214
chm13_chr21	HSat3	1600938
chm13_chr22	HSat3	2240720
HG002_chr13_MATERNAL	bSat	715814
HG002_chr14_MATERNAL	bSat	806826
HG002_chr15_MATERNAL	bSat	663760
HG002_chr21_MATERNAL	bSat	247975
HG002_chr22_MATERNAL	bSat	1372409
mGorGor1_chr22_mat_hsa21	bSat	1356113
mGorGor1_chr23_mat_hsa22	bSat	2635549
mPanPan1_chr14_mat_hsa13	bSat	684285
mPanPan1_chr15_mat_hsa14	bSat	1063026
mPanPan1_chr17_mat_hsa18	bSat	778351
mPanPan1_chr23_mat_hsa22	bSat	687181
mPanTro3_chr14_hap1_hsa13	bSat	502025
mPanTro3_chr15_hap1_hsa14	bSat	412961
mPanTro3_chr17_hap1_hsa18	bSat	305360
mPanTro3_chr22_hap1_hsa21	bSat	856125
mPanTro3_chr23_hap1_hsa22	bSat	776903
mPonAbe1_chr12_hap1_hsa2a	bSat	120454
mPonAbe1_chr11_hap1_hsa2b	bSat	178290
mPonAbe1_chr13_hap1_hsa9	bSat	97618
mPonAbe1_chr14_hap1_hsa13	bSat	134439
mPonAbe1_chr15_hap1_hsa14	bSat	183286
mPonAbe1_chr16_hap1_hsa15	bSat	322510
mPonAbe1_chr17_hap1_hsa18	bSat	396940
mPonAbe1_chr22_hap1_hsa21	bSat	50520
mPonAbe1_chr23_hap1_hsa22	bSat	155567
mPonPyg2_chr12_hap1_hsa2a	bSat	117393
mPonPyg2_chr11_hap1_hsa2b	bSat	162776
mPonPyg2_chr13_hap1_hsa9	bSat	141361
mPonPyg2_chr14_hap1_hsa13	bSat	45834
mPonPyg2_chr15_hap1_hsa14	bSat	96378
mPonPyg2_chr16_hap1_hsa15	bSat	750796
mPonPyg2_chr17_hap1_hsa18	bSat	123126
mPonPyg2_chr22_hap1_hsa21	bSat	50816
mPonPyg2_chr23_hap1_hsa22	bSat	208656
mSymSyn1_chr21_hap1	bSat	161927
chm13_chr13	bSat	251951
chm13_chr14	bSat	1175823
chm13_chr15	bSat	994800
chm13_chr21	bSat	1032666
chm13_chr22	bSat	2623719
HG002_chr13_MATERNAL	Other	723917
HG002_chr14_MATERNAL	Other	665742
HG002_chr15_MATERNAL	Other	380722
HG002_chr21_MATERNAL	Other	252680
HG002_chr22_MATERNAL	Other	439910
mGorGor1_chr22_mat_hsa21	Other	1877136
mGorGor1_chr23_mat_hsa22	Other	935830
mPanPan1_chr14_mat_hsa13	Other	2027730
mPanPan1_chr15_mat_hsa14	Other	2518349
mPanPan1_chr17_mat_hsa18	Other	1307232
mPanPan1_chr22_mat_hsa21	Other	1000936
mPanPan1_chr23_mat_hsa22	Other	2664964
mPanTro3_chr14_hap1_hsa13	Other	3263528
mPanTro3_chr15_hap1_hsa14	Other	2446638
mPanTro3_chr17_hap1_hsa18	Other	2140888
mPanTro3_chr22_hap1_hsa21	Other	2036488
mPanTro3_chr23_hap1_hsa22	Other	2099497
mPonAbe1_chr12_hap1_hsa2a	Other	280096
mPonAbe1_chr11_hap1_hsa2b	Other	160142
mPonAbe1_chr13_hap1_hsa9	Other	96799
mPonAbe1_chr14_hap1_hsa13	Other	126484
mPonAbe1_chr15_hap1_hsa14	Other	416884
mPonAbe1_chr16_hap1_hsa15	Other	389785
mPonAbe1_chr17_hap1_hsa18	Other	765786
mPonAbe1_chr22_hap1_hsa21	Other	234589
mPonAbe1_chr23_hap1_hsa22	Other	83395
mPonPyg2_chr12_hap1_hsa2a	Other	230551
mPonPyg2_chr11_hap1_hsa2b	Other	432182
mPonPyg2_chr13_hap1_hsa9	Other	391534
mPonPyg2_chr14_hap1_hsa13	Other	1120240
mPonPyg2_chr15_hap1_hsa14	Other	304450
mPonPyg2_chr16_hap1_hsa15	Other	254028
mPonPyg2_chr17_hap1_hsa18	Other	384242
mPonPyg2_chr22_hap1_hsa21	Other	270044
mPonPyg2_chr23_hap1_hsa22	Other	491119
mSymSyn1_chr21_hap1	Other	28978
chm13_chr13	Other	270751
chm13_chr14	Other	458433
chm13_chr15	Other	400430
chm13_chr21	Other	502874
chm13_chr22	Other	701986
HG002_chr13_MATERNAL	aSat	702657
HG002_chr14_MATERNAL	aSat	1450677
HG002_chr15_MATERNAL	aSat	2075508
HG002_chr21_MATERNAL	aSat	794060
HG002_chr22_MATERNAL	aSat	1103862
mGorGor1_chr23_mat_hsa22	aSat	167096
mPanPan1_chr14_mat_hsa13	aSat	17294
mPanPan1_chr15_mat_hsa14	aSat	2010254
mPanPan1_chr17_mat_hsa18	aSat	22062
mPanPan1_chr22_mat_hsa21	aSat	24944
mPanPan1_chr23_mat_hsa22	aSat	1531350
mPanTro3_chr14_hap1_hsa13	aSat	265058
mPanTro3_chr15_hap1_hsa14	aSat	40090
mPanTro3_chr17_hap1_hsa18	aSat	273752
mPanTro3_chr22_hap1_hsa21	aSat	262550
mPanTro3_chr23_hap1_hsa22	aSat	256988
mPonAbe1_chr12_hap1_hsa2a	aSat	2519887
mPonAbe1_chr11_hap1_hsa2b	aSat	2371968
mPonAbe1_chr13_hap1_hsa9	aSat	2002156
mPonAbe1_chr14_hap1_hsa13	aSat	2274783
mPonAbe1_chr15_hap1_hsa14	aSat	4281093
mPonAbe1_chr16_hap1_hsa15	aSat	1764568
mPonAbe1_chr17_hap1_hsa18	aSat	4253466
mPonAbe1_chr22_hap1_hsa21	aSat	2566634
mPonAbe1_chr23_hap1_hsa22	aSat	2826488
mPonPyg2_chr12_hap1_hsa2a	aSat	2843758
mPonPyg2_chr11_hap1_hsa2b	aSat	2544121
mPonPyg2_chr13_hap1_hsa9	aSat	1658250
mPonPyg2_chr14_hap1_hsa13	aSat	3431175
mPonPyg2_chr15_hap1_hsa14	aSat	1746293
mPonPyg2_chr16_hap1_hsa15	aSat	2285308
mPonPyg2_chr17_hap1_hsa18	aSat	3564201
mPonPyg2_chr22_hap1_hsa21	aSat	1546947
mPonPyg2_chr23_hap1_hsa22	aSat	3960953
mSymSyn1_chr21_hap1	aSat	47896
chm13_chr13	aSat	668996
chm13_chr14	aSat	1302342
chm13_chr15	aSat	1729507
chm13_chr21	aSat	710580
chm13_chr22	aSat	1120578
HG002_chr13_MATERNAL	rDNA	5175000
HG002_chr14_MATERNAL	rDNA	4410000
HG002_chr15_MATERNAL	rDNA	3015000
HG002_chr21_MATERNAL	rDNA	3375000
HG002_chr22_MATERNAL	rDNA	4635000
mGorGor1_chr22_mat_hsa21	rDNA	5265000
mGorGor1_chr23_mat_hsa22	rDNA	8010000
mPanPan1_chr14_mat_hsa13	rDNA	4590000
mPanPan1_chr15_mat_hsa14	rDNA	6525000
mPanPan1_chr17_mat_hsa18	rDNA	8730000
mPanPan1_chr22_mat_hsa21	rDNA	5040000
mPanPan1_chr23_mat_hsa22	rDNA	8100000
mPanTro3_chr14_hap1_hsa13	rDNA	10305000
mPanTro3_chr15_hap1_hsa14	rDNA	4410000
mPanTro3_chr17_hap1_hsa18	rDNA	8685000
mPanTro3_chr22_hap1_hsa21	rDNA	12915000
mPanTro3_chr23_hap1_hsa22	rDNA	5670000
mPonAbe1_chr12_hap1_hsa2a	rDNA	1125000
mPonAbe1_chr11_hap1_hsa2b	rDNA	4050000
mPonAbe1_chr13_hap1_hsa9	rDNA	4185000
mPonAbe1_chr14_hap1_hsa13	rDNA	945000
mPonAbe1_chr15_hap1_hsa14	rDNA	5220000
mPonAbe1_chr16_hap1_hsa15	rDNA	4815000
mPonAbe1_chr17_hap1_hsa18	rDNA	4005000
mPonAbe1_chr22_hap1_hsa21	rDNA	2655000
mPonAbe1_chr23_hap1_hsa22	rDNA	3240000
mPonPyg2_chr12_hap1_hsa2a	rDNA	1980000
mPonPyg2_chr11_hap1_hsa2b	rDNA	4320000
mPonPyg2_chr13_hap1_hsa9	rDNA	1485000
mPonPyg2_chr14_hap1_hsa13	rDNA	4410000
mPonPyg2_chr15_hap1_hsa14	rDNA	7290000
mPonPyg2_chr16_hap1_hsa15	rDNA	9000000
mPonPyg2_chr17_hap1_hsa18	rDNA	2070000
mPonPyg2_chr22_hap1_hsa21	rDNA	1125000
mPonPyg2_chr23_hap1_hsa22	rDNA	3060000
mSymSyn1_chr21_hap1	rDNA	10170000
chm13_chr13	rDNA	3577493
chm13_chr14	rDNA	718274
chm13_chr15	rDNA	2201043
chm13_chr21	rDNA	2504417
chm13_chr22	rDNA	926856
HG002_chr13_MATERNAL	ct	3374302
HG002_chr14_MATERNAL	ct	4796524
HG002_chr15_MATERNAL	ct	2288673
HG002_chr21_MATERNAL	ct	2917859
HG002_chr22_MATERNAL	ct	3539932
mGorGor1_chr22_mat_hsa21	ct	4467076
mGorGor1_chr23_mat_hsa22	ct	3536575
mPanPan1_chr14_mat_hsa13	ct	1373389
mPanPan1_chr15_mat_hsa14	ct	2379461
mPanPan1_chr17_mat_hsa18	ct	1159980
mPanPan1_chr22_mat_hsa21	ct	11254
mPanPan1_chr23_mat_hsa22	ct	2649683
mPanTro3_chr14_hap1_hsa13	ct	3452343
mPanTro3_chr15_hap1_hsa14	ct	3029104
mPanTro3_chr17_hap1_hsa18	ct	2987025
mPanTro3_chr22_hap1_hsa21	ct	3247455
mPanTro3_chr23_hap1_hsa22	ct	2643383
mPonAbe1_chr12_hap1_hsa2a	ct	5715501
mPonAbe1_chr11_hap1_hsa2b	ct	3669206
mPonAbe1_chr13_hap1_hsa9	ct	5376751
mPonAbe1_chr14_hap1_hsa13	ct	5236764
mPonAbe1_chr15_hap1_hsa14	ct	3548442
mPonAbe1_chr16_hap1_hsa15	ct	1820857
mPonAbe1_chr17_hap1_hsa18	ct	3563744
mPonAbe1_chr22_hap1_hsa21	ct	5103407
mPonAbe1_chr23_hap1_hsa22	ct	3120428
mPonPyg2_chr12_hap1_hsa2a	ct	2958524
mPonPyg2_chr11_hap1_hsa2b	ct	2514108
mPonPyg2_chr13_hap1_hsa9	ct	3782666
mPonPyg2_chr14_hap1_hsa13	ct	6679315
mPonPyg2_chr15_hap1_hsa14	ct	1994051
mPonPyg2_chr16_hap1_hsa15	ct	2595007
mPonPyg2_chr17_hap1_hsa18	ct	3292038
mPonPyg2_chr22_hap1_hsa21	ct	2944611
mPonPyg2_chr23_hap1_hsa22	ct	3866082
mSymSyn1_chr21_hap1	ct	1311838
chm13_chr13	ct	3073661
chm13_chr14	ct	4316946
chm13_chr15	ct	1823601
chm13_chr21	ct	3602157
chm13_chr22	ct	3825802
HG002_chr13_MATERNAL_SD	SD	5176756
HG002_chr14_MATERNAL_SD	SD	7143746
HG002_chr15_MATERNAL_SD	SD	3852900
HG002_chr21_MATERNAL_SD	SD	4331283
HG002_chr22_MATERNAL_SD	SD	5828061
mGorGor1_chr22_mat_hsa21_SD	SD	5791998
mGorGor1_chr23_mat_hsa22_SD	SD	3196364
mPanPan1_chr14_mat_hsa13_SD	SD	2059385
mPanPan1_chr15_mat_hsa14_SD	SD	4043195
mPanPan1_chr17_mat_hsa18_SD	SD	2518809
mPanPan1_chr22_mat_hsa21_SD	SD	116939
mPanPan1_chr23_mat_hsa22_SD	SD	3356616
mPanTro3_chr14_hap1_hsa13_SD	SD	7477295
mPanTro3_chr15_hap1_hsa14_SD	SD	6269493
mPanTro3_chr17_hap1_hsa18_SD	SD	4844866
mPanTro3_chr22_hap1_hsa21_SD	SD	5004286
mPanTro3_chr23_hap1_hsa22_SD	SD	4390796
mPonAbe1_chr12_hap1_hsa2a_SD	SD	4599569
mPonAbe1_chr11_hap1_hsa2b_SD	SD	3854342
mPonAbe1_chr13_hap1_hsa9_SD	SD	3483331
mPonAbe1_chr14_hap1_hsa13_SD	SD	4085897
mPonAbe1_chr15_hap1_hsa14_SD	SD	5256310
mPonAbe1_chr16_hap1_hsa15_SD	SD	3719396
mPonAbe1_chr17_hap1_hsa18_SD	SD	4535995
mPonAbe1_chr22_hap1_hsa21_SD	SD	3617408
mPonAbe1_chr23_hap1_hsa22_SD	SD	5119525
mPonPyg2_chr12_hap1_hsa2a_SD	SD	6017718
mPonPyg2_chr11_hap1_hsa2b_SD	SD	4250422
mPonPyg2_chr13_hap1_hsa9_SD	SD	4905430
mPonPyg2_chr14_hap1_hsa13_SD	SD	6674225
mPonPyg2_chr15_hap1_hsa14_SD	SD	3225720
mPonPyg2_chr16_hap1_hsa15_SD	SD	4219149
mPonPyg2_chr17_hap1_hsa18_SD	SD	5898962
mPonPyg2_chr22_hap1_hsa21_SD	SD	5412642
mPonPyg2_chr23_hap1_hsa22_SD	SD	5592118
mSymSyn1_chr21_hap1_SD	SD	1766043
chm13_chr13_SD	SD	4327995
chm13_chr14_SD	SD	6402521
chm13_chr15_SD	SD	2927931
chm13_chr21_SD	SD	4281370
chm13_chr22_SD	SD	6867284
