Sample_Chromosome	CenSat	Size
mPanPan1_chr17_mat_hsa18	bSat	778351
mPanPan1_chr17_pat_hsa18	bSat	496756
mPanPan1_chr22_pat_hsa21	bSat	574814
mPanPan1_chr23_pat_hsa22	bSat	807278
mPanPan1_chr23_mat_hsa22	bSat	687181
mPanTro3_chr14_hap1_hsa13	bSat	502025
mPanTro3_chr14_hap2_hsa13	bSat	783396
mPanTro3_chr15_hap1_hsa14	bSat	412961
mPanTro3_chr15_hap2_hsa14	bSat	856857
mPanTro3_chr17_hap1_hsa18	bSat	305360
mPanTro3_chr17_hap2_hsa18	bSat	805197
mPanTro3_chr22_hap1_hsa21	bSat	856125
mPanTro3_chr22_hap2_hsa21	bSat	596236
mPanTro3_chr23_hap1_hsa22	bSat	776903
mPanTro3_chr23_hap2_hsa22	bSat	660223
mPonAbe1_chr12_hap1_hsa2a	bSat	120454
mPonAbe1_chr12_hap2_hsa2a	bSat	54196
mPonAbe1_chr11_hap1_hsa2b	bSat	178290
mPonAbe1_chr11_hap2_hsa2b	bSat	63171
mPonAbe1_chr13_hap1_hsa9	bSat	97618
mPonAbe1_chr13_hap2_hsa9	bSat	11785
mPonAbe1_chr14_hap1_hsa13	bSat	134439
mPonAbe1_chr14_hap2_hsa13	bSat	1687
mPonAbe1_chr15_hap1_hsa14	bSat	183286
mPonAbe1_chr15_hap2_hsa14	bSat	357803
mPonAbe1_chr16_hap1_hsa15	bSat	322510
mPonAbe1_chr16_hap2_hsa15	bSat	168048
mPonAbe1_chr17_hap1_hsa18	bSat	396940
mPonAbe1_chr17_hap2_hsa18	bSat	37152
mPonAbe1_chr22_hap1_hsa21	bSat	50520
mPonAbe1_chr22_hap2_hsa21	bSat	80675
mPonAbe1_chr23_hap1_hsa22	bSat	155567
mPonAbe1_chr23_hap2_hsa22	bSat	215130
mPonAbe1_chrY_hap2_hsaY	bSat	109906
mPonPyg2_chr12_hap1_hsa2a	bSat	117393
mPonPyg2_chr12_hap2_hsa2a	bSat	146429
mPonPyg2_chr11_hap1_hsa2b	bSat	162776
mPonPyg2_chr11_hap2_hsa2b	bSat	38322
mPonPyg2_chr13_hap1_hsa9	bSat	141361
mPonPyg2_chr13_hap2_hsa9	bSat	184367
mPonPyg2_chr14_hap1_hsa13	bSat	45834
mPonPyg2_chr14_hap2_hsa13	bSat	117449
mPonPyg2_chr15_hap1_hsa14	bSat	96378
mPonPyg2_chr15_hap2_hsa14	bSat	241529
mPonPyg2_chr16_hap1_hsa15	bSat	750796
mPonPyg2_chr16_hap2_hsa15	bSat	71028
mPonPyg2_chr17_hap1_hsa18	bSat	123126
mPonPyg2_chr17_hap2_hsa18	bSat	63689
mPonPyg2_chr22_hap1_hsa21	bSat	50816
mPonPyg2_chr22_hap2_hsa21	bSat	87904
mPonPyg2_chr23_hap1_hsa22	bSat	208656
mPonPyg2_chr23_hap2_hsa22	bSat	51188
mPonPyg2_chrY_hap2_hsaY	bSat	1226376
mSymSyn1_chr21_hap1	bSat	161927
mSymSyn1_chr21_hap2	bSat	112392
mSymSyn1_chrY_hap2	bSat	390857
chm13_chr13	bSat	251951
chm13_chr14	bSat	1175823
chm13_chr15	bSat	994800
chm13_chr21	bSat	1032666
chm13_chr22	bSat	2623719
HG002_chr13_MATERNAL	Other	723917
HG002_chr13_PATERNAL	Other	601633
HG002_chr14_MATERNAL	Other	665742
HG002_chr14_PATERNAL	Other	668745
HG002_chr15_MATERNAL	Other	380722
HG002_chr15_PATERNAL	Other	596901
HG002_chr21_MATERNAL	Other	252680
HG002_chr21_PATERNAL	Other	448789
HG002_chr22_MATERNAL	Other	439910
HG002_chr22_PATERNAL	Other	455266
mGorGor1_chr22_mat_hsa21	Other	1877136
mGorGor1_chr22_pat_hsa21	Other	1574770
mGorGor1_chr23_mat_hsa22	Other	935830
mGorGor1_chr23_pat_hsa22	Other	1431990
mPanPan1_chr14_pat_hsa13	Other	3255526
mPanPan1_chr14_mat_hsa13	Other	2027730
mPanPan1_chr15_mat_hsa14	Other	2518349
mPanPan1_chr15_pat_hsa14	Other	1844964
mPanPan1_chr17_mat_hsa18	Other	1307232
mPanPan1_chr17_pat_hsa18	Other	6100192
mPanPan1_chr22_pat_hsa21	Other	1477983
mPanPan1_chr22_mat_hsa21	Other	1000936
mPanPan1_chr23_pat_hsa22	Other	2882977
mPanPan1_chr23_mat_hsa22	Other	2664964
mPanTro3_chr14_hap1_hsa13	Other	3263528
mPanTro3_chr14_hap2_hsa13	Other	2998087
mPanTro3_chr15_hap1_hsa14	Other	2446638
mPanTro3_chr15_hap2_hsa14	Other	1607555
mPanTro3_chr17_hap1_hsa18	Other	2140888
mPanTro3_chr17_hap2_hsa18	Other	3260362
mPanTro3_chr22_hap1_hsa21	Other	2036488
mPanTro3_chr22_hap2_hsa21	Other	1237715
mPanTro3_chr23_hap1_hsa22	Other	2099497
mPanTro3_chr23_hap2_hsa22	Other	847030
mPonAbe1_chr12_hap1_hsa2a	Other	280096
mPonAbe1_chr12_hap2_hsa2a	Other	615253
mPonAbe1_chr11_hap1_hsa2b	Other	160142
mPonAbe1_chr11_hap2_hsa2b	Other	224627
mPonAbe1_chr13_hap1_hsa9	Other	96799
mPonAbe1_chr13_hap2_hsa9	Other	5945
mPonAbe1_chr14_hap1_hsa13	Other	126484
mPonAbe1_chr14_hap2_hsa13	Other	31135
mPonAbe1_chr15_hap1_hsa14	Other	416884
mPonAbe1_chr15_hap2_hsa14	Other	630700
mPonAbe1_chr16_hap1_hsa15	Other	389785
mPonAbe1_chr16_hap2_hsa15	Other	58751
mPonAbe1_chr17_hap1_hsa18	Other	765786
mPonAbe1_chr17_hap2_hsa18	Other	541272
mPonAbe1_chr22_hap1_hsa21	Other	234589
mPonAbe1_chr22_hap2_hsa21	Other	1088253
mPonAbe1_chr23_hap1_hsa22	Other	83395
mPonAbe1_chr23_hap2_hsa22	Other	24539
mPonAbe1_chrY_hap2_hsaY	Other	145484
mPonPyg2_chr12_hap1_hsa2a	Other	230551
mPonPyg2_chr12_hap2_hsa2a	Other	262109
mPonPyg2_chr11_hap1_hsa2b	Other	432182
mPonPyg2_chr11_hap2_hsa2b	Other	221576
mPonPyg2_chr13_hap1_hsa9	Other	391534
mPonPyg2_chr13_hap2_hsa9	Other	540312
mPonPyg2_chr14_hap1_hsa13	Other	1120240
mPonPyg2_chr14_hap2_hsa13	Other	384188
mPonPyg2_chr15_hap1_hsa14	Other	304450
mPonPyg2_chr15_hap2_hsa14	Other	172941
mPonPyg2_chr16_hap1_hsa15	Other	254028
mPonPyg2_chr16_hap2_hsa15	Other	148265
mPonPyg2_chr17_hap1_hsa18	Other	384242
mPonPyg2_chr17_hap2_hsa18	Other	158494
mPonPyg2_chr22_hap1_hsa21	Other	270044
mPonPyg2_chr22_hap2_hsa21	Other	212144
mPonPyg2_chr23_hap1_hsa22	Other	491119
mPonPyg2_chr23_hap2_hsa22	Other	313355
mPonPyg2_chrY_hap2_hsaY	Other	661961
mSymSyn1_chr21_hap1	Other	28978
mSymSyn1_chrY_hap2	Other	23985
chm13_chr13	Other	270751
chm13_chr14	Other	458433
chm13_chr15	Other	400430
chm13_chr21	Other	502874
chm13_chr22	Other	701986
HG002_chr13_MATERNAL	aSat	702657
HG002_chr13_PATERNAL	aSat	994261
HG002_chr14_MATERNAL	aSat	1450677
HG002_chr14_PATERNAL	aSat	1849466
HG002_chr15_MATERNAL	aSat	2075508
HG002_chr15_PATERNAL	aSat	1709218
HG002_chr21_MATERNAL	aSat	794060
HG002_chr21_PATERNAL	aSat	713986
HG002_chr22_MATERNAL	aSat	1103862
HG002_chr22_PATERNAL	aSat	1291827
mGorGor1_chr23_mat_hsa22	aSat	167096
mGorGor1_chr23_pat_hsa22	aSat	162363
mPanPan1_chr14_pat_hsa13	aSat	22062
mPanPan1_chr14_mat_hsa13	aSat	17294
mPanPan1_chr15_mat_hsa14	aSat	2010254
mPanPan1_chr15_pat_hsa14	aSat	933386
mPanPan1_chr17_mat_hsa18	aSat	22062
mPanPan1_chr17_pat_hsa18	aSat	48991
mPanPan1_chr22_pat_hsa21	aSat	49810
mPanPan1_chr22_mat_hsa21	aSat	24944
mPanPan1_chr23_pat_hsa22	aSat	1544140
mPanPan1_chr23_mat_hsa22	aSat	1531350
mPanTro3_chr14_hap1_hsa13	aSat	265058
mPanTro3_chr14_hap2_hsa13	aSat	258622
mPanTro3_chr15_hap1_hsa14	aSat	40090
mPanTro3_chr15_hap2_hsa14	aSat	673501
mPanTro3_chr17_hap1_hsa18	aSat	273752
mPanTro3_chr17_hap2_hsa18	aSat	270531
mPanTro3_chr22_hap1_hsa21	aSat	262550
mPanTro3_chr22_hap2_hsa21	aSat	263866
mPanTro3_chr23_hap1_hsa22	aSat	256988
mPanTro3_chr23_hap2_hsa22	aSat	426452
mPonAbe1_chr12_hap1_hsa2a	aSat	2519887
mPonAbe1_chr12_hap2_hsa2a	aSat	2098798
mPonAbe1_chr11_hap1_hsa2b	aSat	2371968
mPonAbe1_chr11_hap2_hsa2b	aSat	2344298
mPonAbe1_chr13_hap1_hsa9	aSat	2002156
mPonAbe1_chr13_hap2_hsa9	aSat	1879618
mPonAbe1_chr14_hap1_hsa13	aSat	2274783
mPonAbe1_chr14_hap2_hsa13	aSat	551744
mPonAbe1_chr15_hap1_hsa14	aSat	4281093
mPonAbe1_chr15_hap2_hsa14	aSat	2497491
mPonAbe1_chr16_hap1_hsa15	aSat	1764568
mPonAbe1_chr16_hap2_hsa15	aSat	2928684
mPonAbe1_chr17_hap1_hsa18	aSat	4253466
mPonAbe1_chr17_hap2_hsa18	aSat	3364998
mPonAbe1_chr22_hap1_hsa21	aSat	2566634
mPonAbe1_chr22_hap2_hsa21	aSat	2667947
mPonAbe1_chr23_hap1_hsa22	aSat	2826488
mPonAbe1_chr23_hap2_hsa22	aSat	2508392
mPonAbe1_chrY_hap2_hsaY	aSat	930924
mPonPyg2_chr12_hap1_hsa2a	aSat	2843758
mPonPyg2_chr12_hap2_hsa2a	aSat	3738594
mPonPyg2_chr11_hap1_hsa2b	aSat	2544121
mPonPyg2_chr11_hap2_hsa2b	aSat	1249798
mPonPyg2_chr13_hap1_hsa9	aSat	1658250
mPonPyg2_chr13_hap2_hsa9	aSat	1658231
mPonPyg2_chr14_hap1_hsa13	aSat	3431175
mPonPyg2_chr14_hap2_hsa13	aSat	2702827
mPonPyg2_chr15_hap1_hsa14	aSat	1746293
mPonPyg2_chr15_hap2_hsa14	aSat	1807736
mPonPyg2_chr16_hap1_hsa15	aSat	2285308
mPonPyg2_chr16_hap2_hsa15	aSat	2394468
mPonPyg2_chr17_hap1_hsa18	aSat	3564201
mPonPyg2_chr17_hap2_hsa18	aSat	2625654
mPonPyg2_chr22_hap1_hsa21	aSat	1546947
mPonPyg2_chr22_hap2_hsa21	aSat	1453657
mPonPyg2_chr23_hap1_hsa22	aSat	3960953
mPonPyg2_chr23_hap2_hsa22	aSat	1762992
mPonPyg2_chrY_hap2_hsaY	aSat	1407801
mSymSyn1_chr21_hap1	aSat	47896
mSymSyn1_chr21_hap2	aSat	47585
mSymSyn1_chrY_hap2	aSat	52571
chm13_chr13	aSat	668996
chm13_chr14	aSat	1302342
chm13_chr15	aSat	1729507
chm13_chr21	aSat	710580
chm13_chr22	aSat	1120578
HG002_chr13_MATERNAL	rDNA	5175000
HG002_chr13_PATERNAL	rDNA	225000
HG002_chr14_MATERNAL	rDNA	4410000
HG002_chr14_PATERNAL	rDNA	1440000
HG002_chr15_MATERNAL	rDNA	3015000
HG002_chr15_PATERNAL	rDNA	2475000
HG002_chr21_MATERNAL	rDNA	3375000
HG002_chr21_PATERNAL	rDNA	2115000
HG002_chr22_MATERNAL	rDNA	4635000
HG002_chr22_PATERNAL	rDNA	1350000
mGorGor1_chr22_mat_hsa21	rDNA	5265000
mGorGor1_chr22_pat_hsa21	rDNA	5535000
mGorGor1_chr23_mat_hsa22	rDNA	8010000
mGorGor1_chr23_pat_hsa22	rDNA	6345000
mPanPan1_chr14_pat_hsa13	rDNA	2340000
mPanPan1_chr14_mat_hsa13	rDNA	4590000
mPanPan1_chr15_mat_hsa14	rDNA	6525000
mPanPan1_chr15_pat_hsa14	rDNA	3690000
mPanPan1_chr17_mat_hsa18	rDNA	8730000
mPanPan1_chr17_pat_hsa18	rDNA	1170000
mPanPan1_chr22_mat_hsa21	rDNA	5040000
mPanPan1_chr23_pat_hsa22	rDNA	5535000
mPanPan1_chr23_mat_hsa22	rDNA	8100000
mPanTro3_chr14_hap1_hsa13	rDNA	10305000
mPanTro3_chr14_hap2_hsa13	rDNA	5985000
mPanTro3_chr15_hap1_hsa14	rDNA	4410000
mPanTro3_chr15_hap2_hsa14	rDNA	3105000
mPanTro3_chr17_hap1_hsa18	rDNA	8685000
mPanTro3_chr17_hap2_hsa18	rDNA	1215000
mPanTro3_chr22_hap1_hsa21	rDNA	12915000
mPanTro3_chr22_hap2_hsa21	rDNA	6885000
mPanTro3_chr23_hap1_hsa22	rDNA	5670000
mPanTro3_chr23_hap2_hsa22	rDNA	2520000
mPonAbe1_chr12_hap1_hsa2a	rDNA	1125000
mPonAbe1_chr12_hap2_hsa2a	rDNA	495000
mPonAbe1_chr11_hap1_hsa2b	rDNA	4050000
mPonAbe1_chr11_hap2_hsa2b	rDNA	225000
mPonAbe1_chr13_hap1_hsa9	rDNA	4185000
mPonAbe1_chr13_hap2_hsa9	rDNA	2745000
mPonAbe1_chr14_hap1_hsa13	rDNA	945000
mPonAbe1_chr15_hap1_hsa14	rDNA	5220000
mPonAbe1_chr15_hap2_hsa14	rDNA	3420000
mPonAbe1_chr16_hap1_hsa15	rDNA	4815000
mPonAbe1_chr16_hap2_hsa15	rDNA	540000
mPonAbe1_chr17_hap1_hsa18	rDNA	4005000
mPonAbe1_chr17_hap2_hsa18	rDNA	1530000
mPonAbe1_chr22_hap1_hsa21	rDNA	2655000
mPonAbe1_chr22_hap2_hsa21	rDNA	2070000
mPonAbe1_chr23_hap1_hsa22	rDNA	3240000
mPonAbe1_chr23_hap2_hsa22	rDNA	2970000
mPonAbe1_chrY_hap2_hsaY	rDNA	135000
mPonPyg2_chr12_hap1_hsa2a	rDNA	1980000
mPonPyg2_chr12_hap2_hsa2a	rDNA	360000
mPonPyg2_chr11_hap1_hsa2b	rDNA	4320000
mPonPyg2_chr11_hap2_hsa2b	rDNA	1485000
mPonPyg2_chr13_hap1_hsa9	rDNA	1485000
mPonPyg2_chr13_hap2_hsa9	rDNA	945000
mPonPyg2_chr14_hap1_hsa13	rDNA	4410000
mPonPyg2_chr14_hap2_hsa13	rDNA	3105000
mPonPyg2_chr15_hap1_hsa14	rDNA	7290000
mPonPyg2_chr15_hap2_hsa14	rDNA	2385000
mPonPyg2_chr16_hap1_hsa15	rDNA	9000000
mPonPyg2_chr16_hap2_hsa15	rDNA	4545000
mPonPyg2_chr17_hap1_hsa18	rDNA	2070000
mPonPyg2_chr17_hap2_hsa18	rDNA	45000
mPonPyg2_chr22_hap1_hsa21	rDNA	1125000
mPonPyg2_chr22_hap2_hsa21	rDNA	180000
mPonPyg2_chr23_hap1_hsa22	rDNA	3060000
mPonPyg2_chr23_hap2_hsa22	rDNA	585000
mPonPyg2_chrY_hap2_hsaY	rDNA	45000
mSymSyn1_chr21_hap1	rDNA	10170000
mSymSyn1_chr21_hap2	rDNA	4545000
mSymSyn1_chrY_hap2	rDNA	720000
chm13_chr13	rDNA	3577493
chm13_chr14	rDNA	718274
chm13_chr15	rDNA	2201043
chm13_chr21	rDNA	2504417
chm13_chr22	rDNA	926856
HG002_chr13_MATERNAL	ct	3374302
HG002_chr13_PATERNAL	ct	4447411
HG002_chr14_MATERNAL	ct	4796524
HG002_chr14_PATERNAL	ct	5011187
HG002_chr15_MATERNAL	ct	2288673
HG002_chr15_PATERNAL	ct	2114168
HG002_chr21_MATERNAL	ct	2917859
HG002_chr21_PATERNAL	ct	2876950
HG002_chr22_MATERNAL	ct	3539932
HG002_chr22_PATERNAL	ct	3344568
mGorGor1_chr22_mat_hsa21	ct	4467076
mGorGor1_chr22_pat_hsa21	ct	3617908
mGorGor1_chr23_mat_hsa22	ct	3536575
mGorGor1_chr23_pat_hsa22	ct	3204967
mPanPan1_chr14_pat_hsa13	ct	1694782
mPanPan1_chr14_mat_hsa13	ct	1373389
mPanPan1_chr15_mat_hsa14	ct	2379461
mPanPan1_chr15_pat_hsa14	ct	2487526
mPanPan1_chr17_mat_hsa18	ct	1159980
mPanPan1_chr17_pat_hsa18	ct	2460511
mPanPan1_chr22_pat_hsa21	ct	967176
mPanPan1_chr22_mat_hsa21	ct	11254
mPanPan1_chr23_pat_hsa22	ct	2407405
mPanPan1_chr23_mat_hsa22	ct	2649683
mPanTro3_chr14_hap1_hsa13	ct	3452343
mPanTro3_chr14_hap2_hsa13	ct	3466811
mPanTro3_chr15_hap1_hsa14	ct	3029104
mPanTro3_chr15_hap2_hsa14	ct	2699399
mPanTro3_chr17_hap1_hsa18	ct	2987025
mPanTro3_chr17_hap2_hsa18	ct	3203545
mPanTro3_chr22_hap1_hsa21	ct	3247455
mPanTro3_chr22_hap2_hsa21	ct	2570484
mPanTro3_chr23_hap1_hsa22	ct	2643383
mPanTro3_chr23_hap2_hsa22	ct	2726879
mPonAbe1_chr12_hap1_hsa2a	ct	5715501
mPonAbe1_chr12_hap2_hsa2a	ct	4227917
mPonAbe1_chr11_hap1_hsa2b	ct	3669206
mPonAbe1_chr11_hap2_hsa2b	ct	2721250
mPonAbe1_chr13_hap1_hsa9	ct	5376751
mPonAbe1_chr13_hap2_hsa9	ct	1961605
mPonAbe1_chr14_hap1_hsa13	ct	5236764
mPonAbe1_chr14_hap2_hsa13	ct	106419
mPonAbe1_chr15_hap1_hsa14	ct	3548442
mPonAbe1_chr15_hap2_hsa14	ct	3184488
mPonAbe1_chr16_hap1_hsa15	ct	1820857
mPonAbe1_chr16_hap2_hsa15	ct	2158288
mPonAbe1_chr17_hap1_hsa18	ct	3563744
mPonAbe1_chr17_hap2_hsa18	ct	2857569
mPonAbe1_chr22_hap1_hsa21	ct	5103407
